epoch,acc,loss,val_acc,val_loss
0,0.3549061269985022,1.706295592470384,0.44302035020765534,1.5042702062327937
1,0.44512173882858347,1.4794099724626186,0.4807746005912749,1.4312997531611862
2,0.48305409453585296,1.3859413093382664,0.45945947014021654,1.4633689341263771
3,0.5032219861409039,1.327412902966301,0.4998606970426298,1.3447761049706413
4,0.517886377095329,1.292181251685096,0.513792154480651,1.3370934523129303
5,0.5318889546852765,1.2522415819119592,0.5381722050283273,1.243572509888322
6,0.5357205057657809,1.2372221560051184,0.5267484100848461,1.2759521021197586
7,0.5437319307575746,1.214259308173185,0.5250766351507646,1.2562673661559944
8,0.5491657668368529,1.2030811442522973,0.5555865270438285,1.1553784155277247
9,0.5552265840001256,1.1852904436040927,0.5462524504150379,1.2007837610017724
